seed, time, team1, team2
173450, 12000, 0, 0
968991, 1057, 0, 0
371370, 425, 0, 0
937296, 93, 0, 0
49951, 343, 0, 0
465023, 507, 0, 0
794651, 1297, 0, 0
434905, 745, 0, 0
521928, 644, 0, 0
42156, 501, 0, 0
629029, 395, 0, 0
252454, 357, 0, 0
509555, 469, 0, 0
113634, 741, 0, 0
313063, 483, 0, 0
859345, 199, 0, 0
216285, 212, 0, 0
494157, 634, 0, 0
362522, 597, 1, 0
829428, 583, 2, 0
794014, 433, 3, 0
883830, 1110, 4, 0
224201, 389, 4, 0
860828, 311, 4, 0
216933, 432, 5, 0
329149, 565, 6, 0
139892, 426, 5, 0
973861, 533, 8, 0
244005, 349, 10, 0
371567, 1363, 8, 0
440656, 490, 10, 0
903691, 403, 12, 0
263008, 1184, 20, 0
356073, 979, 7, 0
875107, 838, 9, 0
107046, 624, 12, 0
96949, 2229, 16, 0
51681, 1596, 14, 0
170314, 1351, 5, 0
483128, 1349, 7, 0
849799, 305, 0, 0
632192, 219, 0, 0
746261, 1626, 8, 0
257323, 287, 0, 0
795788, 426, 3, 0
40195, 769, 8, 0
475356, 649, 12, 0
89296, 1029, 11, 0
186750, 1289, 7, 0
593226, 844, 5, 0
268316, 466, 7, 0
796928, 487, 0, 0
117545, 579, 7, 0
387068, 806, 10, 0
848498, 1169, 18, 0
137167, 124, 0, 0
636240, 966, 8, 0
751640, 844, 7, 0
2179, 757, 6, 0
131065, 1087, 12, 0
307764, 996, 11, 0
468196, 951, 6, 0
254376, 2732, 10, 0
97091, 1768, 16, 0
221220, 1632, 7, 0
427906, 819, 14, 0
994132, 714, 8, 0
881504, 1753, 13, 0
723793, 776, 17, 0
662777, 790, 22, 0
115078, 1022, 11, 0
854799, 759, 5, 0
843498, 570, 11, 0
946591, 1897, 13, 0
609644, 1578, 9, 0
205497, 2000, 18, 0
472298, 811, 12, 0
240758, 2039, 11, 0
9307, 2806, 15, 0
531277, 1360, 17, 0
411012, 819, 19, 0
248558, 1406, 24, 0
65745, 733, 9, 0
359941, 554, 12, 0
709696, 2675, 27, 0
429350, 3443, 33, 0
554422, 12000, 47, 0
398407, 644, 49, 0
83041, 2574, 19, 0
123165, 2130, 14, 0
115628, 12000, 36, 0
872698, 2021, 12, 0
966931, 1511, 8, 0
96577, 3608, 20, 0
268488, 12000, 47, 0
286704, 4896, 49, 0
